1641405983,24.875,24.625,9.687,25.125,25.062
1641406077,24.937,24.562,8.812,25.25,25.0
1641406172,25.0,24.437,4.187,25.25,24.937
1641406266,25.0,24.375,-0.25,25.187,24.875
1641406361,25.0,24.25,-3.687,25.062,24.75
1641406207,85.0,24.187,-5.125,25.062,24.687
1641406523,25.0,24.125,-6.687,25.0,24.625
1641406539,24.875,24.062,-7.562,25.0,24.687
1641406653,24.875,23.937,-7.875,25.0,24.562
1641406689,24.812,23.875,-8.187,25.0,24.562
1641406762,25.062,24.125,-8.0,25.312,26.375
1641407134,12.125,11.812,8.312,14.187,13.0
1641407425,9.25,9.0,6.937,10.75,10.25
1641407520,7.437,7.125,5.312,8.687,8.5
1641407614,6.25,5.875,4.0,7.187,7.187
1641407709,5.375,5.0,3.25,6.25,6.25
1641407803,4.875,4.437,2.812,5.5,5.562
1641407898,4.437,4.0,2.562,4.937,5.0
1641407992,4.187,3.687,2.437,4.562,4.625
1641408087,3.937,3.562,2.375,4.375,4.312
1641408181,3.75,3.375,2.375,4.125,4.062
1641408276,3.625,3.25,2.437,3.937,3.812
1641408370,3.562,3.187,2.375,3.812,3.687
1641408465,3.437,3.125,2.375,3.687,3.562
1641408559,3.437,3.125,2.375,3.562,3.5
1641408653,3.312,3.062,2.375,3.5,3.437
1641408748,3.312,3.0,2.375,3.375,3.312
1641408842,3.25,3.0,2.437,3.25,3.312
1641408937,3.25,2.937,2.5,3.187,3.187
1641409031,3.187,2.937,2.562,3.187,3.187
1641409126,3.187,2.937,2.562,3.125,3.125
1641409220,3.125,2.937,2.562,3.062,3.125
1641409315,3.125,2.937,2.625,3.062,3.062
1641409409,3.125,2.875,2.562,2.937,3.062
1641409504,3.062,2.875,2.562,2.875,3.0
1641409598,3.0,2.812,2.5,2.875,3.0
1641409693,3.0,2.812,2.437,2.812,2.937
1641409787,3.0,2.812,2.5,2.875,2.937
1641409882,3.0,2.875,2.5,2.812,2.937
1641409976,3.0,2.875,2.562,2.812,2.937
1641410070,2.937,2.875,2.625,2.812,2.937
1641410165,3.0,2.812,2.75,2.75,2.937
1641410259,2.937,2.812,2.75,2.75,2.937
1641410354,2.937,2.812,2.687,2.75,2.937
1641410448,2.937,2.812,2.75,2.812,2.937
1641410543,2.937,2.812,2.75,2.75,2.875
1641410637,2.937,2.812,2.75,2.75,2.937
1641410732,2.937,2.875,2.687,2.75,2.937
1641410826,2.937,2.812,2.625,2.75,2.937
1641410921,2.937,2.875,2.625,2.75,2.937
1641411015,2.937,2.812,2.625,2.75,2.875
1641411110,2.937,2.812,2.625,2.75,2.937
1641411204,2.937,2.875,2.687,2.75,2.937
1641411299,2.937,2.875,2.75,2.75,2.937
1641411393,2.937,2.875,2.812,2.75,2.937
1641411488,2.937,2.875,2.687,2.75,2.937
1641411582,2.937,2.875,2.562,2.75,2.937
1641411677,2.937,2.812,2.5,2.687,2.937
1641411771,2.937,2.812,2.5,2.687,2.937
1641411866,2.937,2.812,2.5,2.75,2.937
1641411960,2.937,2.812,2.5,2.687,2.937
1641412055,2.937,2.812,2.562,2.687,2.937
1641412149,2.937,2.75,2.625,2.687,2.937
1641412244,2.875,2.812,2.625,2.687,2.937
1641412338,2.937,2.812,2.625,2.687,2.937
1641412433,2.937,2.75,2.625,2.687,2.875
1641412527,2.875,2.75,2.437,2.687,2.875
1641412621,2.875,2.812,1.312,2.687,2.937
1641412716,2.875,2.75,1.312,2.687,2.937
1641412810,2.875,2.75,1.437,2.687,2.875
1641412905,2.875,2.75,1.625,2.625,2.875
